TEMP,HE_IN_INFL,HE_OUT_INFL,HE_IN_TEMP,HE_OUT_TEMP,HE_IN_PRES,HE_OUT_PRES,HE_LABL
16.66,560.0,638.62,14.005999999999998,17.47,16.3195,18.9403,0
16.97,561.4990664,635.055,14.0314,17.49,16.32565,18.94025,0
17.12,564.6320226,634.4466667,14.042,17.27,16.32303333,18.9403,0
17.305,563.8815547,634.2925,14.0187,17.13,16.309325,18.9403625,0
17.282,564.5873663,634.194,14.0622,17.28,16.31334,18.94035,0
17.285999999999998,564.1939039,633.04,13.9837,17.16,16.3116,18.94031,0
17.294,564.0384069,633.206,13.9777,17.36,16.30472,18.94029,0
17.304000000000002,566.9155022000001,632.774,14.0097,17.24,16.30268,18.94021,0
17.09,567.1912398,631.146,13.948,17.29,16.3036,18.94015,0
17.01,566.7551151,630.262,14.0046,17.03,16.30344,18.94014,0
16.954,566.7548612,631.808,14.0064,17.15,16.30808,18.940170000000002,0
16.85,564.2285304999999,632.194,14.0015,17.18,16.30736,18.94024,0
16.726,562.1671802,631.6,14.0083,17.38,16.30888,18.940360000000002,0
16.702,561.9496743,633.3480000000001,13.9916,17.44,16.3136,18.9404,0
16.844,562.1363683999999,632.984,14.0213,17.3,16.31186,18.94046,0
16.862000000000002,562.1229296,632.09,14.045,17.24,16.30378,18.94046,0
16.88,563.4099091,632.694,13.9995,17.12,16.31586,18.94043,0
16.862000000000002,562.9316292000001,633.62,13.9612,17.21,16.31338,18.940360000000002,0
16.906,562.5304603999999,632.56,14.0035,17.4,16.320520000000002,18.94031,0
16.82,563.7025869,632.99,14.0523,17.22,16.32074,18.94025,0
17.006,563.8503727000001,632.572,13.9813,17.15,16.323,18.94031,0
17.028,566.0525036,631.2,14.0057,17.24,16.312839999999998,18.94029,0
16.98,566.5103556,630.234,13.9475,17.25,16.317079999999997,18.94029,0
17.028,566.9687624,631.184,13.9881,17.44,16.30848,18.94037,0
17.125999999999998,567.011303,632.564,13.9939,17.36,16.30262,18.94034,0
17.098,567.1208799,631.99,13.9607,17.26,16.30684,18.9403,0
17.098,563.8590387,632.828,14.0184,17.37,16.30708,18.940279999999998,0
17.308,563.8242882000001,632.7080000000001,13.9913,17.41,16.30874,18.94035,0
17.364,562.7396842999999,632.544,14.0099,17.24,16.3147,18.940279999999998,0
17.29,561.9839732999999,632.794,13.9608,17.4,16.31766,18.94033,0
17.224,564.9813432,631.62,13.969000000000001,17.41,16.31454,18.94034,0
17.208,564.7698982999999,630.64,14.0036,17.25,16.31658,18.940360000000002,0
17.076,565.0967469999999,632.064,14.0243,17.28,16.30518,18.940279999999998,0
16.934,565.4259994,630.774,14.0048,17.47,16.30838,18.940260000000002,0
16.846,565.3993842,631.236,14.03,17.31,16.31568,18.94023,0
16.92,562.4268147999999,632.6759999999999,14.0554,17.25,16.31852,18.940160000000002,0
16.994,564.3373033,633.126,13.989,17.29,16.3184,18.94019,0
17.096,565.3900204,633.564,13.995,17.27,16.3265,18.94023,0
17.202,565.1594205,634.604,14.0069,17.12,16.32232,18.94022,0
17.22,564.4412296,632.776,14.0177,17.33,16.3094,18.94024,0
17.17,562.6768396000001,633.896,14.0321,17.09,16.31188,18.94029,0
17.158,563.1236949,633.682,14.0138,17.49,16.31178,18.9403,0
17.222,563.7155861,631.804,14.0605,17.32,16.30998,18.94025,0
17.236,564.8388459,631.732,14.012,17.45,16.3112,18.94027,0
17.214000000000002,565.9170626,631.188,13.9916,17.45,16.3175,18.94029,0
17.204,565.5812561,629.314,14.0127,17.2,16.309639999999998,18.94029,0
